,event,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
90,26.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.5973581766177805,2.2907110902,0.1967316583348235,0.41077159321540313
91,22.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.5400973366349124,1.5660417903,0.13449535375517646,0.3713963450154192
92,33.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.29215686274509806,3.621,0.31098,0.20090080738177624
93,18.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.29215686274509806,3.621,0.31098,0.20090080738177624
94,28.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.4674879949679536,1.84490299063,0.15844460978351765,0.32146674477502224
95,19.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.3478888552463483,2.82634329472,0.24273301237007058,0.239224748107636
96,32.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.3478888552463483,2.82634329472,0.24273301237007058,0.239224748107636
97,35.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.5897893416787048,2.693158923575,0.23129482520114705,0.40556690613082697
98,24.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.6379983648101909,1.8118273038000001,0.15560399197341176,0.4387176990959489
99,38.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.24705882352941178,4.76,0.40879999999999994,0.1698892733564014
100,36.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.8266669419453656,1.9589323501599998,0.1682377194843294,0.568455091255372
101,23.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.32367788494185806,1.64266044076,0.14107554373585882,0.22257614558648944
102,29.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.9223346090599682,2.4234503627,0.20813161938482352,0.634240681171237
103,27.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.38042269822468006,2.11041091405,0.18124705497135293,0.2615965495439123
104,37.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.7766434757614936,1.54409883446,0.13261084107715293,0.5340566018618741
105,31.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.12447391851733418,1.4551910592266666,0.0299598159252549,0.02138022600415387
106,20.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.41673048707050014,2.01927785215,0.04157336754426471,0.07157958954387414
107,25.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.2729411764705883,4.03325,0.0830375,0.04688166089965399
108,34.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.40172110633422187,2.4442081447,0.050321932390882354,0.06900150767623105
109,30.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.2351459292316733,2.22091873632,0.045724797512470584,0.04038977137391094
110,21.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.5876728380571572,3.66510047856,0.07545795102917646,0.10094145218393523
111,26.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.5973581766177805,2.2907110902,0.04716169891588235,0.1026050515131717
112,22.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.5400973366349124,1.5660417903,0.03224203685911765,0.0927696601749379
113,33.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.29215686274509806,3.621,0.07455,0.05018223760092272
114,18.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.29215686274509806,3.621,0.07455,0.05018223760092272
115,28.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.4674879949679536,1.84490299063,0.037983296865911766,0.08029793795920144
116,19.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.3478888552463483,2.82634329472,0.058189420773647055,0.05975502690113747
117,32.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.3478888552463483,2.82634329472,0.058189420773647055,0.05975502690113747
118,35.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.5897893416787048,2.693158923575,0.05544738960301471,0.10130499280598929
119,24.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.6379983648101909,1.8118273038000001,0.03730232684294118,0.10958560148504455
120,38.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.24705882352941178,4.76,0.09799999999999999,0.04243598615916955
121,36.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.8266669419453656,1.9589323501599998,0.04033096015035294,0.14199220414590985
122,23.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.32367788494185806,1.64266044076,0.03381947966270588,0.055596436707660325
123,29.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.9223346090599682,2.4234503627,0.049894566290882354,0.15842453285030042
124,27.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.38042269822468006,2.11041091405,0.0434496364657353,0.06534319287153327
125,37.0,7.0,Jorginho,3.0,1.0,47.0,0.0023529411764705885,0.018235294117647058,0.020588235294117647,0.17176470588235293,0.7766434757614936,1.54409883446,0.031790270121235295,0.13339993818962126
126,31.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.12447391851733418,1.4551910592266666,0.4665171336932549,0.07658806986419504
127,20.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.41673048707050014,2.01927785215,0.6473567231892648,0.25641181733867247
128,25.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.2729411764705883,4.03325,1.2930125000000001,0.1679391003460208
129,34.0,9.0,Martinelli,3.0,1.0,68.0,0.17411764705882352,0.14647058823529413,0.3205882352941177,0.6152941176470589,0.40172110633422187,2.4442081447,0.7835843758008825,0.24717663366211537
